Kingsman: The Golden Circle,2017,6.7,"['Drug Crime', 'Satire', 'Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']","English, Italian, Swedish","Taron Egerton, Colin Firth, Mark Strong",Matthew Vaughn
Captain Underpants: The First Epic Movie,2017,6.2,"['Buddy Comedy', 'Computer Animation', 'Farce', 'HighConcept Comedy', 'Parody', 'Slapstick', 'Superhero', 'Urban Adventure', 'Action', 'Adventure']","English, German","Kevin Hart, Thomas Middleditch, Ed Helms",David Soren
Happy Death Day,2017,6.6,"['Dark Comedy', 'Slasher Horror', 'Teen Horror', 'Comedy', 'Horror', 'Mystery', 'Thriller']","English, Spanish","Jessica Rothe, Israel Broussard, Ruby Modine",Christopher Landon
The Circle,2017,5.4,"['Conspiracy Thriller', 'Cyber Thriller', 'Drama', 'Mystery', 'SciFi', 'Thriller']",English,"Emma Watson, Tom Hanks, John Boyega",James Ponsoldt
Phoenix Forgotten,2017,5.4,"['Found Footage Horror', 'Horror', 'Mystery', 'SciFi', 'Thriller']",English,"Florence Hartigan, Luke Spencer Roberts, Chelsea Lopez",Justin Barber
The Rider,2017,7.4,"['Drama', 'Western']","English, Sioux, Spanish","Brady Jandreau, Mooney, Tim Jandreau",Chlo Zhao
Pokémon the Movie: I Choose You!,2017,6.3,"['Anime', 'Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'SciFi']","Japanese, English","Unsh Ishizuka, Rica Matsumoto, Sarah Natochenny",Kunihiko Yuyama
Jane,2017,7.8,"['Science  Technology Documentary', 'Biography', 'Documentary']",English,"Jane Goodall, Hugo Van Lawick, Hugo Eric Louis van Lawick",Brett Morgen
3 Idiots,2017,4.4,['Comedy'],Spanish,"Martha Higareda, Alfonso Dosal, Christian Vazquez","Rajkumar Hirani, Sham Kaushal, Shantanu Moitra"
Thelma,2017,6.9,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'SciFi', 'Thriller']","Norwegian, Swedish, English","Eili Harboe, Kaya Wilkins, Henrik Rafaelsen",Joachim Trier
