title,year,rating_imdb,genre,language
"Daddy, Darling",1970,4.8,['Drama'],English
Deadlock,1970,6.5,"['Thriller', 'Western']",English
The Cruise,1970,7.5,"['Satire', 'Comedy']",Polish
Portraits of Women,1970,5.4,"['Parody', 'Comedy', 'Drama']",Finnish
The Walking Stick,1970,6.5,"['Heist', 'Psychological Drama', 'Tragic Romance', 'Crime', 'Drama', 'Romance']",English
Medená veza,1970,7.4,"['Drama', 'Romance']","Slovak, Polish"
Sophie Scholl: The Final Days,2005,7.6,"['True Crime', 'Biography', 'Crime', 'Drama', 'History', 'Thriller', 'War']",German
The Untold Story of Emmett Louis Till,2005,7.7,"['Biography', 'Documentary']",English
Fierce People,2005,6.4,"['Drama', 'Thriller']","English, Tagalog"
Bailey's Billion$,2005,4.1,"['Animal Adventure', 'Comedy', 'Family']",English
This Divided State,2005,7.3,['Documentary'],English
Buck Rogers in the 25th Century,1979,6.5,"['Alien Invasion', 'Dystopian SciFi', 'Space SciFi', 'Steampunk', 'Time Travel', 'Action', 'Adventure', 'SciFi']",English
Caligula,1979,5.3,"['Costume Drama', 'Dark Comedy', 'Epic', 'Historical Epic', 'Period Drama', 'Drama', 'History']",English
Porridge,1979,7.2,"['Comedy', 'Crime']",English
Joi Baba Felunath: The Elephant God,1979,7.9,"['Adventure', 'Crime', 'Family', 'Mystery']","Bengali, English"
Olsenbanden og Dynamitt-Harry mot nye høyder,1979,6.4,"['Comedy', 'Crime', 'Family']",Norwegian
Play Motel,1979,4.8,"['Whodunnit', 'Crime', 'Drama', 'Horror', 'Mystery', 'Romance', 'Thriller']",Italian
The Giver,2014,6.4,"['Dystopian SciFi', 'Teen Romance', 'Drama', 'Romance', 'SciFi', 'Thriller']",English
When the Game Stands Tall,2014,6.6,"['Football', 'Biography', 'Drama', 'Family', 'Sport']",English
A Walk Among the Tombstones,2014,6.5,"['Psychological Thriller', 'Whodunnit', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller']","English, Spanish, Urdu, Russian"
The Skeleton Twins,2014,6.8,"['Comedy', 'Drama', 'Romance']","English, Spanish"
99 Homes,2014,7.1,"['Crime', 'Drama']","English, Spanish"
The Two Faces of January,2014,6.2,"['Crime', 'Mystery', 'Romance', 'Thriller']","English, Greek, Turkish"
She's Funny That Way,2014,6.1,"['Comedy', 'Drama']",English
The Better Angels,2014,6.0,"['Biography', 'Drama', 'History']",English
Thunderbolt and Lightfoot,1974,7.0,"['Caper', 'Dark Comedy', 'Heist', 'Action', 'Comedy', 'Crime', 'Drama']",English
Alice Doesn't Live Here Anymore,1974,7.3,"['Drama', 'Romance']",English
Julia,1974,4.7,['Drama'],German
Dirty Mary Crazy Larry,1974,6.6,"['Dark Comedy', 'Action', 'Crime', 'Thriller']",English
The Trial of Billy Jack,1974,4.6,"['Action', 'Drama', 'Music', 'Thriller']",English
Where the Lilies Bloom,1974,7.2,"['ComingofAge', 'Drama', 'Family', 'Romance']",English
Symptoms,1974,6.5,['Horror'],English
"Keep It Up, Jack",1974,3.8,"['Raunchy Comedy', 'Comedy']",English
Rhinoceros,1974,5.7,"['Comedy', 'Drama', 'Fantasy', 'Romance']",English
Black Belt Jones,1974,6.2,"['Martial Arts', 'Action', 'Crime']",English
The Great Masquerade,1974,5.2,"['Comedy', 'Crime']",English
The Bears and I,1974,6.1,"['Adventure', 'Drama', 'Family']",English
Callan,1974,6.8,"['Dark Comedy', 'Action', 'Crime', 'Thriller']",English
The Blue Bead,1974,7.8,"['Comedy', 'Romance']",Turkish
The Sinful Nuns of Saint Valentine,1974,4.7,"['Drama', 'Horror']",Italian
The World Is Not Enough,1999,6.4,"['Spy', 'Action', 'Adventure', 'Thriller']","English, Russian, Spanish"
Dogma,1999,7.3,"['Dark Comedy', 'Satire', 'Adventure', 'Comedy', 'Drama', 'Fantasy']","English, Spanish"
Go,1999,7.2,"['Dark Comedy', 'Comedy', 'Crime']",English
Election,1999,7.2,"['Dark Comedy', 'Political Drama', 'Satire', 'Teen Comedy', 'Comedy', 'Romance']","English, Spanish"
Limbo,1999,7.0,"['Adventure', 'Drama', 'Thriller']",English
Asterix and Obelix vs. Caesar,1999,6.0,"['Buddy Comedy', 'Adventure', 'Comedy', 'Family', 'Fantasy']",French
The Third Miracle,1999,6.5,['Drama'],English
Luminarias,1999,5.3,"['Comedy', 'Romance']",English
Onegin,1999,6.8,"['Period Drama', 'Drama', 'Romance']","English, French"
Human Traffic,1999,7.1,"['Raunchy Comedy', 'Comedy', 'Music']",English
Miss Julie,1999,6.2,"['Period Drama', 'Drama']",English
Simon Magus,1999,6.9,"['Drama', 'Fantasy', 'Mystery', 'Romance']",English
Forbidden Sins,1999,4.1,"['Erotic Thriller', 'Crime', 'Drama', 'Thriller']",English
Family Plot,1976,6.8,"['Comedy', 'Crime', 'Drama', 'Thriller']",English
Sex with a Smile,1976,5.2,"['Raunchy Comedy', 'Slapstick', 'Comedy']",Italian
Black Cobra,1976,4.3,"['Drama', 'Horror']",Italian
Two-Minute Warning,1976,6.2,"['Dark Comedy', 'Tragedy', 'Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",English
The Great Texas Dynamite Chase,1976,5.9,"['Caper', 'Parody', 'Satire', 'Action', 'Comedy', 'Crime', 'Drama', 'Romance']",English
Laure,1976,4.4,"['Drama', 'Romance']",Italian
Plot of Fear,1976,6.0,"['Mystery', 'Thriller']",Italian
Passion Plantation,1976,3.7,['Drama'],Italian
Game of Seduction,1976,5.1,['Drama'],French
The Hand of Death,1976,6.0,"['Action', 'Drama']",Mandarin
Snake Dancer,1976,5.3,['Drama'],English
Kabhi Kabhie,1976,7.1,"['Drama', 'Romance']","Hindi, Urdu"
"Not Now, Comrade",1976,4.9,['Comedy'],English
Kabeela,1976,5.6,"['Action', 'Adventure', 'Crime', 'Drama']",Hindi
Saving Private Ryan,1998,8.6,"['Epic', 'Period Drama', 'War Epic', 'Drama', 'War']","English, French, German, Czech"
Deep Impact,1998,6.3,"['Disaster', 'Space SciFi', 'Action', 'Drama', 'SciFi', 'Thriller']","English, Russian"
Babe: Pig in the City,1998,5.8,"['Animal Adventure', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",English
"Lock, Stock and Two Smoking Barrels",1998,8.1,"['Farce', 'Comedy', 'Crime']",English
Cleopatra's Second Husband,1998,4.5,['Drama'],English
Free Enterprise,1998,6.7,"['Satire', 'Comedy', 'Romance']",English
Blindness,1998,6.6,['Drama'],English
Crackers,1998,6.3,"['Slapstick', 'Comedy']",English
Losing Control,1998,4.2,"['Erotic Thriller', 'Steamy Romance', 'Mystery', 'Romance', 'Thriller']",English
"Solan, Ludvig og Gurin med reverompa",1998,5.9,"['Adventure', 'Animation', 'Comedy', 'Family']",Norwegian
Safe House,1998,6.8,"['Drama', 'Thriller']",English
The Best of Times,1986,6.0,"['Comedy', 'Drama', 'Sport']",English
The Manhattan Project,1986,6.1,"['Dark Comedy', 'SciFi', 'Thriller']",English
Blood Hook,1986,4.3,"['Parody', 'Slasher Horror', 'Comedy', 'Horror']",English
Mirch Masala,1986,7.8,"['Drama', 'Thriller']",Hindi
The Elm-Chanted Forest,1986,8.0,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Musical']",Croatian
Portfolio,1986,5.9,['Drama'],English
Deux enfoirés à Saint-Tropez,1986,3.6,['Comedy'],French
El viaje a ninguna parte,1986,7.5,"['Comedy', 'Drama']",Spanish
The Supernaturals,1986,4.1,"['Horror', 'Mystery', 'SciFi']",English
